object,count(*)
car_wheel,58
rain_barrel,58
giraffe,58
lion,57
trimaran,57
pelican,57
cock,57
tarantula,56
beagle,56
bighorn,56
ground_beetle,56
apiary,56
quail,56
file,56
CD_player,56
axolotl,55
couch,55
cannon,54
sea_slug,54
Polaroid_camera,54
minibus,54
catamaran,54
seat_belt,54
red_fox,54
stone_wall,53
red_wolf,53
tusker,53
Madagascar_cat,53
sea_cucumber,53
paddlewheel,53
bassinet,53
greenhouse,53
earthstar,52
wallaby,52
mitten,52
African_elephant,52
thatch,52
Chesapeake_Bay_retriever,52
African_crocodile,51
coyote,51
mashed_potato,51
"baseball bat",51
lycaenid,50
basenji,49
brain_coral,49
papillon,49
French_bulldog,49
surfboard,49
eft,48
coral_fungus,48
Arctic_fox,48
American_black_bear,48
flatworm,48
Ibizan_hound,47
gibbon,47
gazelle,47
"traffic light",47
Gordon_setter,46
monarch,46
toucan,46
water_tower,46
collie,46
wire-haired_fox_terrier,46
knife,46
remote,46
common_newt,45
great_grey_owl,45
Weimaraner,45
lionfish,45
fly,45
patio,45
"baseball glove",45
mud_turtle,44
lacewing,44
dhole,44
standard_poodle,44
lesser_panda,44
capuchin,44
china_cabinet,44
tench,43
bald_eagle,43
beach_wagon,43
wolf_spider,43
Norwich_terrier,43
fiddler_crab,43
agama,43
West_Highland_white_terrier,43
box_turtle,42
Doberman,42
leaf_beetle,42
Bedlington_terrier,42
Brabancon_griffon,42
sulphur_butterfly,42
fox_squirrel,42
slug,41
convertible,41
curly-coated_retriever,41
Scottish_deerhound,41
patas,41
hen,41
Newfoundland,41
baboon,41
Pomeranian,40
long-horned_beetle,40
prairie_chicken,40
porcupine,40
tiger_beetle,39
radiator,39
cardoon,39
keyboard,39
toilet,39
Angora,38
hartebeest,38
peacock,38
"hot dog",38
three-toed_sloth,37
spoonbill,37
schipperke,37
garden_spider,37
cricket,37
lifeboat,37
passenger_car,37
bullfrog,36
wild_boar,36
minivan,36
disk_brake,36
Norfolk_terrier,36
jeep,36
Kerry_blue_terrier,36
ram,36
dock,36
green_lizard,35
miniature_pinscher,35
snowplow,35
wing,35
reflex_camera,35
puffer,35
lorikeet,35
black_stork,35
Italian_greyhound,35
Rhodesian_ridgeback,34
redbone,34
grey_fox,34
fireboat,34
flamingo,34
flat-coated_retriever,34
spider_monkey,33
komondor,33
dishrag,33
electric_locomotive,33
Model_T,33
English_foxhound,32
warthog,32
jackfruit,32
rock_python,32
Rottweiler,31
toy_poodle,31
wombat,31
green_snake,31
Irish_terrier,31
hornbill,31
pickup,31
brambling,31
Scotch_terrier,31
snow_leopard,30
American_chameleon,30
holster,30
airliner,29
damselfly,29
koala,29
guenon,29
American_egret,29
yawl,29
bee_eater,29
titi,29
Border_collie,29
indigo_bunting,29
Yorkshire_terrier,29
impala,28
sulphur-crested_cockatoo,28
hay,28
kit_fox,28
black-and-tan_coonhound,28
squirrel_monkey,28
mobile_home,28
African_hunting_dog,27
Samoyed,27
thunder_snake,27
ringlet,27
goldfinch,27
hognose_snake,27
coucal,27
magpie,27
American_Staffordshire_terrier,26
ruffed_grouse,26
golfcart,26
Leonberg,26
anemone_fish,26
water_snake,26
siamang,26
ringneck_snake,26
Tibetan_mastiff,26
stingray,26
Great_Pyrenees,26
armadillo,25
Blenheim_spaniel,25
cabbage_butterfly,25
ladybug,25
boa_constrictor,25
partridge,25
albatross,24
vulture,24
European_gallinule,24
Saint_Bernard,24
English_setter,24
Airedale,24
German_short-haired_pointer,24
Walker_hound,23
giant_schnauzer,23
grasshopper,23
tile_roof,23
whiptail,23
skis,23
dung_beetle,22
Appenzeller,22
diamondback,22
langur,22
Komodo_dragon,22
Welsh_springer_spaniel,22
yurt,21
black-footed_ferret,21
Norwegian_elkhound,21
robin,21
black_and_gold_garden_spider,21
Old_English_sheepdog,21
otterhound,21
cliff_dwelling,21
Shetland_sheepdog,21
grille,21
toothbrush,21
Irish_wolfhound,20
stinkhorn,20
black_grouse,19
bull_mastiff,19
English_springer,19
bullet_train,19
black_swan,19
bison,19
EntleBucher,19
trolleybus,19
ostrich,19
red-breasted_merganser,18
photocopier,18
alligator_lizard,18
Brittany_spaniel,17
standard_schnauzer,17
leafhopper,17
bluetick,17
redshank,17
admiral,17
soft-coated_wheaten_terrier,17
black_widow,17
bittern,17
jay,17
"fire hydrant",17
Pembroke,16
colobus,16
Gila_monster,16
mongoose,15
white_stork,15
toy_terrier,15
oven,15
