id,Label,subcat1,subcat2,obj1,pb1,obj2,pb2,obj3,pb3,obj4,pb4,obj5,pb5,obj6,pb6,black,red,green,blue,yellow,magenta,cyan,maroon,purple,orange,gray,white,booksDay,price
0525426582,"One Plus One: A Novel Hardcover","Literature & Fiction","Dramas & Plays",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.43020594966,0.0,0.0,0.328947368421,70.6864988558,0.0,18.0549199085,0.197368421053,0.00286041189931,0.0972540045767,1.53318077803,2.66876430206,E,10.99
0140501738,"Corduroy Paperback","Children's Books",Animals,tray,8.354950696229935,"teddy bear",96.7910885810852,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.38918567601,0.150595247531,0.0,0.0,7.92844347923,0.00713345909358,0.0,2.52524451913,0.854429878097,45.0961431765,39.6477656421,0.401058922372,D,3.85
0385349947,"Lean In: Women, Work, and the Will to Lead Hardcover","Biographies & Memoirs","Professionals & Academics",person,99.57833290100098,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.9599010261,0.0,0.0,0.0,0.0,0.0,0.0,10.0120078597,0.0,0.0,19.707444873,59.3206462412,D,4.99
0140268863,"The Odyssey Paperback","Literature & Fiction","History & Criticism",rule,8.711465448141098,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.358518518519,0.484444444444,0.0,0.0,0.0,0.0,0.0,16.2948148148,0.259259259259,42.3377777778,34.1303703704,6.13481481481,E,10.17
0978507517,"Have You Filled a Bucket Today? A Guide to Daily Happiness for Kids Paperback","Children's Books","Growing Up & Facts of Life",person,95.87382078170776,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.35769308427,0.0,0.00305924534536,0.00795403789793,0.69200129712,0.0,7.95159050166,0.689553900844,0.312654874296,1.35769308427,28.9802311566,58.6475688177,D,12.92
0060256656,"The Giving Tree Hardcover","Children's Books",Classics,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.92547074078,0.0,16.980493855,0.0,0.0,0.0,0.0,0.10598714624,0.0202954109821,0.30894125606,65.9939113767,7.66490021423,E,9.65
0061122416,"The Alchemist Paperback","Literature & Fiction","Genre Fiction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.61102018549,0.0,0.0,0.00818330605565,0.0109110747409,0.0,0.0,1.21658483361,2.16039279869,0.422804146208,44.601745772,45.9683578833,B,5.99
0310708257,"The Jesus Storybook Bible: Every Story Whispers His Name Hardcover","Children's Books",Religions,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.99571258005,0.00542711386085,0.0,0.0,1.75702811245,0.0,0.263215022251,1.40969282536,0.546781721481,11.5923152068,34.9126234668,45.5172039509,D,5.99
1476751447,"Hard Choices: A Memoir Hardcover","Biographies & Memoirs",Historical,person,99.95181560516357,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33.6713995943,0.0,0.0,0.0,0.00845165652468,0.0,0.0,1.92134324994,0.0225377507325,0.104237097138,46.2530989407,18.0189317106,D,14.99
0874478529,"The Official SAT Study Guide Second Edition 2nd Edition","Test Preparation","College & High School",Band_Aid,80.92166185379028,cash_machine,78.21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,20.7318119423,44.2368737131,0.15013726836,0.0,0.718514070007,0.0,0.0,0.0,13.3128860673,20.8497769389,D,16.34
