asin	title	subcat1	subcat2	obj1	pb1	obj2	pb2	obj3	pb3	obj4	pb4	obj5	pb5	booksDay
0553381466	The Happiest Baby on the Block Paperback	Parenting & Relationships	Parenting	person	95.9668040276									D
0670024783	The Invention of Wings Hardcover	Literature & Fiction	Genre Fiction	bird	50.3680408001									D
0679734775	The House on Mango Street Paperback	Literature & Fiction	Genre Fiction	stop sign	99.4615614414									D
0679805273	Oh, the Places You'll Go! Hardcover	Children's Books	Literature & Fiction	maze	57.6443493366									D
0689835604	Where Is Baby's Belly Button? A Lift-the-Flap Book Board book	Children's Books	Science, Nature & How It Works	Band_Aid	52.4218022823									E
0736430512	Frozen Little Golden Book (Disney Frozen) Hardcover	Children's Books	Growing Up & Facts of Life	person	55.592674017									A
0736430881	A Day in the Sun (Disney Frozen) (Pictureback(R)) Paperback	Children's Books	Growing Up & Facts of Life	teddy bear	66.6439116001									E
0736431195	Big Snowman, Little Snowman (Disney Frozen) (Step into Reading) Paperback	Children's Books	Literature & Fiction	person	54.3091535568									E
074324754X	The Glass Castle: A Memoir Paperback	Biographies & Memoirs	Arts & Literature	person	98.6360132694									D
0756634687	Baby Touch and Feel: Animals Board book	Children's Books	Early Learning	teddy bear	71.3299393654									E
0761148574	What to Expect When You're Expecting Paperback	Health, Fitness & Dieting	Women's Health	person	96.4057087898									D
0761152121	What to Expect the First Year, Second Edition Paperback	Health, Fitness & Dieting	Women's Health	person	93.4347569942									E
0763642649	Guess How Much I Love You Board book	Children's Books	Animals	dog	93.7380313873									D
0763660531	Journey Hardcover	Children's Books	Growing Up & Facts of Life	person	97.4093437195	kite	89.1032338142	boat	72.9971885681					E
076967559X	Brighter Child® Handwriting: Printing (Brighter Child Workbooks) Paperback	Children's Books	Education & Reference	apple	93.0465400219	car	85.6944561005							D
0778801314	Ball Complete Book of Home Preserving Paperback	Cookbooks, Food & Wine	Canning & Preserving	bottle	70.7663536072	vase	50.9792387486							D
0802473156	The 5 Love Languages: The Secret to Love That Lasts Paperback	Self-Help	Relationships	person	90.4057860374									C
0849946158	Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back Paperback	Self-Help	Relationships	person	98.9881813526									C
0859537285	Head, Shoulders, Knees and Toes... Board book	Children's Books	Early Learning	teddy bear	79.9310445786									D
0874478529	The Official SAT Study Guide Second Edition 2nd Edition	Test Preparation	College & High School	Band_Aid	80.9216618538									D
0976423316	The First Days of School: How to Be an Effective Teacher (Book & DVD) 4th Edition	New, Used & Rental Textbooks	Business & Finance	person	76.2334167957									D
0978507517	Have You Filled a Bucket Today? A Guide to Daily Happiness for Kids Paperback	Children's Books	Growing Up & Facts of Life	person	73.0193018913									D
1416971718	Out of My Mind Paperback	Children's Books	Growing Up & Facts of Life	kite	81.221473217	bird	69.682341814							E
1416994157	Locomotive (Caldecott Medal Book) Hardcover	Children's Books	History	clock	91.6869997978									E
1426307934	National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books) Hardcover	Children's Books	Education & Reference	donut	74.8824417591									E
145161778X	All Fall Down: A Novel Hardcover	Literature & Fiction	Genre Fiction	person	56.0858845711									E
1465414053	Ultimate Sticker Book: Frozen (Ultimate Sticker Books) Paperback	Children's Books	Growing Up & Facts of Life	person	93.3841943741	dog	83.5528314114							B
1476751447	Hard Choices: A Memoir Hardcover	Biographies & Memoirs	Historical	person	99.9518156052									D
1477849297	The Sworn Sword: The Graphic Novel (A Game of Thrones) Paperback	Comics & Graphic Novels	Graphic Novels	person	57.6266527176									E
1594205191	The Mockingbird Next Door: Life with Harper Lee Hardcover	Literature & Fiction	History & Criticism	person	81.9919407368									D
1594746036	Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children) Paperback	Teen & Young Adult	Literature & Fiction	person	99.4499206543									E
1595231129	One Nation: What We Can All Do to Save America's Future Hardcover	Politics & Social Sciences	Politics & Government	person	99.9760687351	tie	64.1851842403							D
1621573133	Blood Feud: The Clintons vs. the Obamas Hardcover	Biographies & Memoirs	Leaders & Notable People	person	83.4765017033	tie	76.816868782	umbrella	55.1256418228					D
1846432766	My New Baby Board book	Children's Books	Growing Up & Facts of Life	person	72.4406063557	teddy bear	56.9755315781							E
1889140430	1-2-3 Magic: Effective Discipline for Children 212 Paperback	Parenting & Relationships	Parenting	person	77.782613039									E
1889392448	Baby Bargains: Secrets to Saving 20% to 50% on baby furniture, gear, clothes, strollers, maternity wear and much, much more! Paperback	Parenting & Relationships	Parenting	person	89.8891568184									E
1933107987	Study Manual for the Test of Essential Academic Skills, Version 5: Reading, Mathematics, Science, English and Language Usage	New, Used & Rental Textbooks	Medicine & Health Sciences	person	85.8403205872									E
1936608367	Against All Grain: Delectable Paleo Recipes to Eat Well & Feel Great Paperback	Cookbooks, Food & Wine	Special Diet	person	93.5352087021	potted plant	86.1786544323	cup	63.0516946316	bowl	57.4930787086			D
1936608588	Becoming a Supple Leopard: The Ultimate Guide to Resolving Pain, Preventing Injury, and Optimizing Athletic Performance Hardcover	Health, Fitness & Dieting	Exercise & Fitness	scissors	87.943726778									E
1936608758	Practical Paleo: A Customized Approach to Health and a Whole-Foods Lifestyle Paperback	Cookbooks, Food & Wine	Special Diet	person	96.4609622955	cup	65.1136875153	bowl	54.9799740314					E
