object,count(*)
sunglass,475
sunglasses,910
sunscreen,2497
suspension_bridge,93
Sussex_spaniel,174
swab,416
sweatshirt,671
swimming_trunks,1017
swing,290
switch,151
syringe,274
tabby,177
table_lamp,100
tailed_frog,90
tank,151
tape_player,76
tarantula,56
teapot,127
teddy,826
"teddy bear",707
television,3133
"tennis racket",74
tennis_ball,463
terrapin,206
thatch,52
theater_curtain,1124
thimble,166
thresher,93
throne,490
tick,147
tie,695
tiger,219
tiger_cat,287
tiger_shark,129
timber_wolf,84
toaster,205
tobacco_shop,2675
toilet_seat,505
toilet_tissue,594
torch,350
totem_pole,99
tow_truck,128
toyshop,1719
tractor,205
traffic_light,290
trailer_truck,144
train,87
tray,6486
tree_frog,66
trench_coat,104
triceratops,270
tricycle,388
trifle,125
trilobite,189
trimaran,57
tripod,185
triumphal_arch,135
trombone,130
truck,151
tub,145
turnstile,128
tusker,53
tv,113
typewriter_keyboard,95
umbrella,912
unicycle,208
upright,180
vacuum,127
valley,314
vase,745
vault,157
velvet,104
vending_machine,746
vestment,287
viaduct,117
vine_snake,117
violin,290
vizsla,149
volcano,662
volleyball,248
waffle_iron,149
walking_stick,68
wallaby,52
wallet,444
wall_clock,719
wardrobe,95
warplane,115
washbasin,103
washer,190
water_bottle,204
water_buffalo,80
water_jug,137
weasel,138
weevil,64
whippet,68
whiskey_jug,175
whistle,774
white_wolf,91
wig,1436
window_screen,169
window_shade,124
Windsor_tie,563
"wine glass",268
wine_bottle,309
wok,244
wooden_spoon,233
wood_rabbit,73
wool,219
worm_fence,131
wreck,100
zebra,208
zucchini,104
